title,Ethnicity,Gender,Religious_Affiliation,Political_Party,docid
John Blair Jr.,,male,,Federalist Party,560377
Austan Goolsbee,,male,,Democratic Party,4388185
Benjamin Butler,,male,,Democratic Party,732946
Miroslav Ilić,,male,,League of Communists of Yugoslavia,10654189
Bhikkhu Bodhi,Jewish people,male,Buddhism,,3082659
Isaac La Peyrère,,male,Protestantism,,2557008
Bill Cassidy,,male,Protestantism,Republican Party,9386382
Birch Bayh,,male,,Democratic Party,699065
Bobby Richardson,,male,,Republican Party,1839065
Henry A. Wise,,male,,Democratic Party,749948
John Branch,,male,,Democratic-Republican Party,502630
Marcus Morton,,male,,Democratic-Republican Party,729384
William Milliken,,male,,Republican Party,412798
Oliver P. Morton,,male,,Republican Party,702414
Redfield Proctor,,male,,Republican Party,659777
Jonathan Trumbull Jr.,,male,,Federalist Party,296700
William J. Stone,,male,,Democratic Party,3659392
Francisco Orlich Bolmarcich,,male,Catholicism,National Liberation Party,435879
Bob Packwood,,male,Unitarian Universalism,Republican Party,375258
David B. Hill,,male,,Democratic Party,673717
Morgan Bulkeley,,male,,Republican Party,1596197
Ernest McFarland,,male,,Democratic Party,880552
Brian Griffin,,male,atheism,,913782
Brian Stelfreeze,African Americans,male,,,3539389
Max Shachtman,,male,,Communist Party USA,324492
Mehmed Orhan,,male,Islam,,9532775
Rob Portman,,male,Methodism,Republican Party,703464
Newton D. Baker,,male,Episcopal Church,Democratic Party,508585
John Tory,,male,United Church of Canada,Progressive Conservative Party of Ontario,555445
John Smyth (English theologian),,male,Anglicanism,,1170702
Richard Schweiker,,male,Schwenkfelder Church,Republican Party,1114876
Marshall Rosenbluth,,male,atheism,,3742070
Norman Podhoretz,,male,,Republican Party,913779
Jay Livingston,American Jews,male,,,1692634
Dennis Miller,,male,,Republican Party,308418
Reed Smoot,,male,,Republican Party,308816
Obafemi Awolowo,,male,Christianity,Unity Party of Nigeria,392453
Carl Hayden,,male,,Democratic Party,578794
Jamgon Kongtrul,,male,Buddhism,,1796516
Tex Ritter,,male,,Republican Party,318009
John B. Taylor,,male,,Republican Party,1506620
Mike Rogers (Michigan politician),,male,Methodism,Republican Party,412632
Jeremy Roenick,,male,,Republican Party,440133
Miguel Nicolelis,,male,atheism,,1659013
Didier Reynders,,male,,Reform Movement,7238714
Saeed Jaffrey,,male,Islam,,1583004
Hugh MacDiarmid,,male,,Scottish National Party,374370
Joseph F. Smith,,male,The Church of Jesus Christ of Latter-day Saints,,639575
Numan Kurtulmuş,,male,Sunni Islam,Virtue Party,22316273
Rajyavardhan Singh Rathore,,male,,Bharatiya Janata Party,917515
George Rekers,,male,Baptists,,5459710
Tito Sotto,,male,,Nationalist People's Coalition,3873709
M. K. Stalin,,male,atheism,Dravida Munnetra Kazhagam,1011075
"Frederik, Crown Prince of Denmark",,male,Church of Denmark,,339155
B. G. Kher,,male,,Indian National Congress,18596362
Abdul Taib Mahmud,,male,Sunni Islam,Parti Pesaka Bumiputera Bersatu,8703527
Nehemiah,,male,Judaism,,3137245
Károly Grósz,,male,,Hungarian Communist Party,1059648
Vivek Kundra,,male,,Democratic Party,20368922
Christine of France,,female,Catholicism,,7699794
José Vasconcelos,,male,Catholic Church,Partido Nacional Antirreeleccionista,1213360
"David Armstrong-Jones, 2nd Earl of Snowdon",British people,male,Church of England,,17245599
Victor de Broglie (1756–1794),,male,,Jacobins,712213
Claude Kitchin,,male,,Democratic Party,2694340
W. Cleon Skousen,,male,The Church of Jesus Christ of Latter-day Saints,,4358686
Tom Metzger,,male,,Democratic Party,47776962
Tsagaan Khas,Mongols,,Tibetan Buddhism,,28473534
Philip Anschutz,,male,,Republican Party,483648
Sanai,,male,Islam,,1833568
Brian McKnight,,male,Adventism,,921221
Dan Fouts,,male,atheism,,905830
Daniel Hoan,,male,,Socialist Party of America,1329051
Pete Geren,,male,,Democratic Party,2177110
David Brion Davis,,male,Judaism,,6483690
Hu Chunhua,,male,,Chinese Communist Party,8314534
Ron Brown,,male,,Democratic Party,574453
S. Epatha Merkerson,,female,atheism,,1107537
Nancy Brinker,,female,,Republican Party,4159007
Paul Kagame,,male,Catholic Church,Rwandan Patriotic Front,393593
Karan Singh,,male,Hinduism,Indian National Congress,7470169
Mick Mulvaney,,male,Catholicism,Republican Party,28323027
Pope Benjamin I of Alexandria,,male,Oriental Orthodox Churches,,2965897
Oswald of Worcester,,male,Catholic Church,,2970005
Earl Holliman,,male,,California Republican Party,1736289
Harold Ford Jr.,African Americans,male,,Democratic Party,30876428
Edward H. Levi,,male,Judaism,Republican Party,745107
Edward Terry Sanford,,male,,Republican Party,21830675
Fernando Lopez,,male,,Liberal Party of the Philippines,796617
Eleanor Parke Custis Lewis,White Americans,female,,,3561590
Alexander J. Dallas (statesman),,male,,Democratic-Republican Party,614933
Peter Tatchell,,male,atheism,Labour Party,265778
K. Pattabhi Jois,,male,Hinduism,,418999
John Bell (Tennessee politician),,male,,Democratic-Republican Party,724148
William McChesney Martin,,male,,Democratic Party,679421
Morrison Waite,,male,,Republican Party,433095
Jamaal Wilkes,,male,Islam,,1465313
Mohamed Salah,,male,Muslim,,35440786
Robert M. T. Hunter,,male,,Whig Party,1329305
Norman Cousins,,male,Judaism,,1630495
Leonidas Polk,,male,Anglicanism,,852750
John Conyers,,male,Baptists,Democratic Party,501512
Joseph Ward,,male,Catholicism,New Zealand Liberal Party,1287467
Nat Hentoff,,male,atheism,,332388
Jeph Loeb,Jewish people,male,,,1321703
Ivan Maisky,,male,,Communist Party of the Soviet Union,3089656
Valerian Gracias,,male,Catholic Church,,10901974
Ibn al-Nadim,,male,Islam,,934310
E. C. George Sudarshan,,male,Vedanta,,881837
Joseph Rainey,African Americans,male,,Republican Party,1958204
Vikram Pandit,,male,Hinduism,,12669326
Shaykh al-Islām,,male,Islam,,4711939
Fred Hampton,,male,,Black Panther Party,306520
Tina Kotek,,female,,Democratic Party of Oregon,8555425
Viktor Yushchenko,,male,Eastern Orthodoxy,Our Ukraine,1102876
Galusha A. Grow,,male,,Democratic Party,518827
Gary Gensler,,male,Judaism,Democratic Party,5611860
George F. Edmunds,,male,,Republican Party,30871257
Glenn Thompson (politician),,male,,Republican Party,16879645
Lou Holtz,,male,,Republican Party,1201971
Herb Gray,,male,Judaism,Liberal Party of Canada,432291
Philippe-Antoine Merlin de Douai,,male,,The Mountain,508266
Pope Simeon II of Alexandria,,male,Eastern Orthodoxy,,2850120
Lütfi Pasha,,male,Islam,,29165928
Joseph P. Bradley,,male,,Republican Party,912206
Henry Parkes,,male,Congregational churches,Free Trade Party,301816
Iftekhar,,male,Islam,,10732038
Garegin Nzhdeh,,male,,Armenian Revolutionary Federation,4388648
Simon Coveney,,male,,Fine Gael,1479177
James Guthrie (Kentucky politician),,male,,Democratic Party,770920
Jason Chaffetz,,male,The Church of Jesus Christ of Latter-day Saints,Democratic Party,17860391
Lim Yew Hock,,male,Islam,Singapore People's Alliance,1843670
J. Gresham Machen,,male,Orthodox Presbyterian Church,,479421
John Hessin Clarke,,male,,Democratic Party,912151
Justin Amash,,male,Greek Orthodox Church,Republican Party,27476249
Keith Brown (Scottish politician),,male,,Scottish National Party,11145229
Waqar Younis,,male,Sunni Islam,,894433
William M. Meredith,,male,,Whig Party,854003
Ruth (biblical figure),Moab,female,paganism,,29280144
Koenraad Elst,,male,Hinduism,,305365
Yale Lary,,male,,Democratic Party,1530720
Mickey Kantor,,male,,Democratic Party,950865
Peter Hitchens,,male,Anglicanism,Socialist Workers Party,497972
Steve Scalise,,male,,Republican Party,4228818
Andrew Volstead,,male,,Republican Party,755113
Ron Dellums,African Americans,male,,Democratic Party,551711
Lothrop Stoddard,,male,,Republican Party,26297548
Luther Standing Bear,Miniconjou,male,,,12896901
Malcolm Forbes,,male,,Republican Party,327409
Mark Pocan,,male,,Democratic Party,6950063
Nick Joaquin,,male,Catholic Church,,1753869
Ng Eng Hen,,male,,People's Action Party,2744757
Govinda (actor),,male,Hinduism,Indian National Congress,1839078
Nimr al-Nimr,,male,Islam,,34850319
Alan Cranston,,male,,Democratic Party,572465
Nur Misuari,,male,Islam,Lakas–CMD,3433312
Angel (Buffy the Vampire Slayer),,male,Catholicism,,693254
Pat Meehan,,male,,Republican Party,15312274
Auberon Herbert,,male,,Liberal Party,433406
Don Black (white supremacist),,male,,Republican Party,1021657
Phil Jimenez,Latino,male,,,2313376
Eve Ensler,,female,Buddhism,,967570
Allen West (politician),,male,,Republican Party,11893373
Ralph Yarborough,,male,,Democratic Party,381546
Rick Nolan,,male,,Minnesota Democratic–Farmer–Labor Party,5340870
Brit Hume,,male,Episcopal Church,,524099
Sirajuddin Haqqani,,male,Sunni Islam,,7710901
Pedro Pierluisi,,male,,Democratic Party,11313563
Barry Commoner,,male,Judaism,Citizens Party,1074406
Veera Ballala II,,male,Hinduism,,6840056
Vasily Shulgin,,male,Eastern Orthodox Church,All-Russian National Union,6585725
Thakar Singh,,male,Hinduism,,2504839
Pope Theodosius I of Alexandria,,male,Eastern Orthodoxy,,6305645
Vidyapati,,male,Hinduism,,1655059
Sonny Bill Williams,,male,Islam,,2725599
Orson Pratt,,male,The Church of Jesus Christ of Latter-day Saints,,1038181
Tom Werner,,male,Judaism,,2508131
Renee Montoya,,female,Catholicism,,1971360
Rómulo Díaz de la Vega,,male,,Conservative Party,3223066
Bryce Harper,,male,Mormons,,22156261
Richard Allen (bishop),,male,African Methodist Episcopal Church,,285659
William E. Dannemeyer,,male,Lutheran Church – Missouri Synod,Republican Party,1061253
Willie Rennie,,male,,Scottish Liberal Democrats,3931727
Nirmala Joshi,,female,Catholicism,,3180757
Georges Vacher de Lapouge,,male,,French Section of the Workers' International,6177423
Martin Luther King Sr.,,male,Baptists,Republican Party,1396779
Ehmetjan Qasim,,male,,Communist Party of the Soviet Union,1997847
Shelley Berman,,male,Judaism,,1253783
Michael Cullen (politician),,male,,New Zealand Labour Party,358953
Nanaji Deshmukh,,male,Hinduism,Bharatiya Janata Party,6810021
Kiran Bedi,,female,Hinduism,Bharatiya Janata Party,2213720
Gulam Mohammed Sheikh,,male,Islam,,2800653
Maneka Gandhi,,female,Sikhism,Bharatiya Janata Party,1328445
Jyothika,,female,Hinduism,,3153949
Allauddin Khan,,male,Islam,,2150764
Auberon Waugh,,male,Catholic Church,,561511
Cathal Goulding,,male,,Workers' Party of Ireland,2740166
Tikka Khan,,male,Islam,Pakistan Peoples Party,1211713
Nawazuddin Siddiqui,,male,Islam,,23070922
Tammy Duckworth,,female,,Democratic Party,3691615
Emanuel Celler,,male,,Democratic Party,1690398
Fernando Haddad,,male,Eastern Orthodoxy,Workers' Party,27969419
Pran (actor),,male,Hinduism,,1693032
Ibn Hajar al-Haytami,,male,Islam,,3144473
Israel Folau,,male,Pentecostalism,,9268239
Jay Hill,,male,,Conservative Party of Canada,1846828
John Fetterman,,male,,Democratic Party,5303368
Ram Chandra Poudel,,male,,Nepali Congress,17195023
Kumar Sanu,,male,Hinduism,Bharatiya Janata Party,1368369
Leon Jaworski,,male,,Democratic Party,315739
Rash Behari Bose,,male,Hinduism,,1368905
Maurice de Rothschild,,male,Judaism,Democratic Republican Alliance,38618091
John Finnis,,male,Catholicism,,2007218
Joko Widodo,,male,Islam,Indonesian Democratic Party – Struggle,29410367
Syama Prasad Mukherjee,,male,Hinduism,Akhil Bharatiya Hindu Mahasabha,384368
Rahul Sankrityayan,,male,Buddhism,Communist Party of India (Marxist),2458525
Prakash Jha,,male,,Janata Dal (United),6237038
Robin Kelly,African Americans,female,,Democratic Party,6520375
Ruairí Ó Brádaigh,,male,,Republican Sinn Féin,640693
Shobana,,female,Hinduism,,785203
Khushbu,,female,Hinduism,Dravida Munnetra Kazhagam,1161220
O. Panneerselvam,,male,,All India Anna Dravida Munnetra Kazhagam,1126941
Khabib Nurmagomedov,,male,Sunni Islam,,33353755
Vedanta Desika,,male,Hinduism,,2305916
Tony Clement,,male,,Conservative Party of Canada,441175
Habib Tanvir,,male,Islam,,14432642
Raghavendra Tirtha,,male,Hinduism,,1041966
Theodore Roosevelt Sr.,,male,,Republican Party,3170915
William Stoughton (judge),,male,Calvinism,,1478979
Woody Johnson,,male,Christianity,Republican Party,1229489
Yann LeCun,,male,atheism,,23534873
Julia Brownley,,female,,Democratic Party,9140038
Al-Sha'rani,,male,Sunni Islam,,26370167
A. P. Abdullakutty,,male,,Communist Party of India (Marxist),7121697
Jyeṣṭhadeva,,male,Hinduism,,2793061
Wahiduddin Khan,,male,Islam,,6181197
Shaukat Ali (politician),,male,Islam,,2334243
Ahmed Raza Khan Barelvi,Pashtuns,male,Islam,,1282218
J. B. Kripalani,,male,,Indian National Congress,3009461
Margaret Woodrow Wilson,,female,,Democratic Party,9429442
Rajiv Pratap Rudy,,male,Hinduism,Bharatiya Janata Party,700929
Swami Shraddhanand,,male,Hinduism,,13630027
Abdur Rab Nishtar,,male,,Muslim League,3564111
Rashid Ahmad Gangohi,,male,Sunni Islam,,3567613
Eric Trump,,male,,Republican Party,8095589
"Francis Baring, 1st Baron Northbrook",,male,,Whigs,601200
Durgabai Deshmukh,,female,,Indian National Congress,3905221
Venkaiah Naidu,,male,,Bharatiya Janata Party,450153
Nanaia Mahuta,,female,,New Zealand Labour Party,1075519
Kenneth Cole (designer),,male,Judaism,,935994
Lai Ching-te,,male,,Democratic Progressive Party,22609914
Mayer Amschel de Rothschild,,male,,Liberal Party,635561
Nick Foles,,male,Christianity,,25327279
Annie Kuster,,female,,Democratic Party,23101972
Sergio Mattarella,,male,Roman Catholic,Democratic Party,13947321
Toby Young,,male,,Conservative Party,930162
William L. Rowe,,male,atheism,,10781969
Derek Kilmer,,male,,Democratic Party,16128418
Pope Gabriel VII of Alexandria,,male,Oriental Orthodox Churches,,3793323
Arthur Vandenberg,,male,Congregational churches,Republican Party,342031
Robert F. Williams,African Americans,male,,,1168698
Prince Hubertus of Saxe-Coburg and Gotha (pilot),,male,,Nazi Party,24693970
A. K. Chesterton,,male,,British Union of Fascists,338420
Aaron Bean,,male,,Republican Party,30869022
Adamjee Haji Dawood,,male,Islam,,27509417
Adrian Wooldridge,,male,atheism,,4654250
Adrienne A. Jones,,female,,Democratic Party,11041461
Ahmad Dahlan,,male,Sunni Islam,,8956439
Ali Yavar Jung,,male,Islam,,5225046
Andrea Tantaros,,female,,Republican Party,32553075
Andrew C. McCarthy,,male,,Republican Party,11790387
Andrew Rawnsley,,male,,Social Democratic Party,2542586
Anna Roosevelt Halsted,,female,Episcopal Church,,421648
Balaji Vishwanath,,male,Hinduism,,2354632
Barbara Buono,,female,,Democratic Party,1735656
Barnaby Joyce,,male,,National Party of Australia,1111093
Bearcat Wright,African Americans,male,,,16420793
Behroze Sabzwari,,male,Islam,,17810491
Belle Case La Follette,,female,,Wisconsin Progressive Party,1624522
Bill Kurtis,,male,,Democratic Party,673458
Bud Wilkinson,,male,,Republican Party,2664431
Martina Anderson,,female,Catholicism,Sinn Féin,9938587
Charlie Gasparino,,male,Catholic Church,,11871968
Charlotte Laws,,female,Jainism,,8457530
Christine Romans,,female,,Republican Party,11438366
Christopher Mayhew,,male,,Liberal Democrats,1611463
Cindy Hyde-Smith,,female,Baptists,Republican Party,16180456
Claudia Jones,African Americans,female,,Communist Party USA,7986142
Dan Meuser,,male,,Republican Party,16251444
Darren Soto,,male,,Democratic Party,21099348
"David Frost, Baron Frost",,male,,Conservative Party,19408767
Davud Monshizadeh,,male,Shia Islam,SUMKA,21973666
Dharmavarapu Subramanyam,,male,,Indian National Congress,13774370
Diane Nash,African Americans,female,,,1707925
Dick DeVos,,male,,Republican Party,2224400
Dwight Evans (politician),,male,,Democratic Party,16488153
Elizabeth Schuyler Hamilton,,female,Reformed Church in America,,10508019
Eric Adams,,male,,Democratic Party,11149441
Eric Johnson (Texas politician),,male,,Democratic Party,32174049
George MacLeod,,male,Presbyterianism,,446888
Gladys Berejiklian,Armenian Australian,female,,Liberal Party of Australia (New South Wales Division),7219220
Gloria Richardson,African Americans,female,,,4752003
Grace Meng,,female,,Democratic Party,19309394
Henry Browne Blackwell,,male,,Republican Party,1059551
Jagmohan,,male,,Indian National Congress,8881327
Indrani Rahman,,female,Hinduism,,19359973
Innocent (actor),,male,,Revolutionary Socialist Party,3463255
Pedro Sánchez,,male,atheism,Spanish Socialist Workers' Party,43297512
Pete Ricketts,,male,Catholic Church,Republican Party,3379557
Richard Gomez,,male,,Liberal Party of the Philippines,15588661
Jewel Plummer Cobb,African Americans,female,,,34122329
Jimmy Gomez,,male,,California Democratic Party,37836929
John Henry Hopkins,Irish people,male,Anglicanism,,11524515
John Rutherford (Florida politician),,male,Catholicism,Republican Party,1020872
Jonathan Bowden,,male,,British National Party,11007630
Josh Brecheen,,male,,Republican Party,31679833
Juliette Kayyem,,female,,Democratic Party,25948246
Harry Haywood,,male,,Communist Party USA,5292469
Kanaka Dasa,,male,Hinduism,,1111047
Kandukuri Veeresalingam,,male,Hinduism,,1173316
Katherine Clark,,female,,Democratic Party,29642899
Kelvin Davis (politician),,male,,New Zealand Labour Party,22159155
Kent Monkman,Cree,male,,,24816452
Kota Srinivasa Rao,,male,Hinduism,Bharatiya Janata Party,10678179
Shabnam,,female,Hinduism,,3034784
Lawrence Wong,,male,,People's Action Party,32336575
P. J. Kurien,,male,,Indian National Congress,12421424
Vartan Gregorian,Armenians,male,Armenian Apostolic Church,,1985629
London Breed,,female,,Democratic Party,37570236
Jalaludin Abdur Rahim,,male,,Pakistan Peoples Party,34877776
Marcelo Rebelo de Sousa,,male,Catholic Church,Social Democratic Party,1652059
Mark Drakeford,,male,,Welsh Labour,33580665
Mark Steel,,male,,Socialist Workers Party,376919
Mary Eliza Mahoney,African Americans,female,,,5461481
Michael Eric Dyson,,male,Baptists,,1884782
Michelle Fischbach,,female,,Republican Party of Minnesota,22874491
Mohammad Ali Baig,,male,Islam,,31310137
Mohammed bin Salman,,male,Sunni Islam,,38689358
Myrlie Evers-Williams,African Americans,female,,Democratic Party,3728417
Nancy Mace,,female,,Republican Party,1127759
Naresh (actor),,male,,Bharatiya Janata Party,16589441
Negudar,,male,Islam,,16183380
P. Kakkan,,male,,Indian National Congress,19989018
Pete Dawkins,,male,,Republican Party,1074349
Pete Buttigieg,Maltese American,male,Anglicanism,Democratic Party,33687378
Philip Lader,,male,,Democratic Party,2195753
Pillai Lokacharya,,male,Hinduism,,2690953
Piyush Goyal,,male,Hinduism,Bharatiya Janata Party,28913694
Preet Bharara,,male,,Democratic Party,25072687
Ralph Norman,,male,,Republican Party,5860780
Ram Prakash Gupta,,male,,Bharatiya Janata Party,7358867
Ram Subhag Singh,,male,,Indian National Congress,28978976
Ramesh Bais,,male,,Bharatiya Janata Party,6365272
Ravi Kishan,,male,,Bharatiya Janata Party,9338047
Raza Murad,,male,Islam,,14517547
Ro Khanna,,male,Hinduism,Democratic Party,38318277
Ronnie Dunn,,male,,Republican Party,616848
S. Iswaran,,male,Hinduism,People's Action Party,23754028
S. R. Bommai,,male,,Janata Party,11664143
Scott Perry (politician),,male,,Republican Party,19558869
Seamus O'Regan,,male,,Liberal Party of Canada,2474135
Septima Poinsette Clark,African Americans,female,,,3115341
Shirley Caesar,African Americans,female,,,576583
Steve Schmidt,,male,,Republican Party,18654544
Sukhdev Singh Dhindsa,,male,,Shiromani Akali Dal,7112879
Sushil Kumar Modi,,male,,Bharatiya Janata Party,4067450
Tan Jee Say,,male,,Singapore Democratic Party,32661751
Ted Lieu,,male,,Democratic Party,5774818
Thawar Chand Gehlot,,male,,Bharatiya Janata Party,6402853
Thomas J. Anderson,,male,,American Party,890641
Thomas Kean Jr.,,male,Episcopal Church,Republican Party,1606565
Tim Montgomerie,,male,,Conservative Party,7476189
Todd Gloria,,male,,Democratic Party,21552539
Tom Tiffany,,male,,Republican Party,29633398
Tomás Yarrington,,male,,Institutional Revolutionary Party,2363318
Trailanga,,male,Hinduism,,21204233
Ubadah ibn al-Samit,,male,Islam,,22288098
V. Ganapati Sthapati,,male,Hinduism,,18739205
Wes Streeting,,male,,Labour Party,17169295
William Breeze,,male,Thelema,,1936524
William M. Boyle,,male,,Democratic Party,23066119
Yusuf Haroon,,male,,Muslim League,18952101
Giannis Antetokounmpo,Igbo people,male,,,38153033
Sushant Singh Rajput,,male,Hinduism,,26398927
Elhaida Dani,,female,Islam,,42551933
David Jang,,male,Presbyterianism,,25669421
Andrej Plenković,,male,Catholicism,Croatian Democratic Union,40129899
Roy Strong,,male,Anglicanism,,2396139
Haitham bin Tariq,,male,Islam,,46281094
Lawrence Welk,,male,Catholicism,,58576
Frank Luntz,,male,,Republican Party,4970805
Joni Ernst,,female,Evangelical Lutheran Church in America,Republican Party of Iowa,30991069
Trayvon Martin,African Americans,male,,,35152422
Alexander Pruss,,male,Catholic Church,,38773776
Abdullah of Pahang,,male,Sunni Islam,,25955055
Louise Thompson Patterson,African Americans,female,,,3176999
Mike Duggan,,male,,Democratic Party,39186703
Pavel Gubarev,Russians,male,,Russian National Unity (1990),42135027
Hukmdev Narayan Yadav,,male,,Bharatiya Janata Party,34025579
Cliff Alexander,African Americans,male,,,40390322
Kirbyjon Caldwell,,male,Methodism,,10076778
Marise Payne,,female,Anglicanism,Liberal Party of Australia,2722187
Dan Bongino,,male,,Republican Party,33068868
Michelle Wu,,female,,Democratic Party,40624694
Maura Healey,,female,,Democratic Party,41875710
Alex Morse,,male,,Democratic Party,41036916
Ahmed Hussen,,male,Islam,Liberal Party of Canada,40411599
Jenniffer González,,female,,New Progressive Party,8980772
Richard B. Spencer,,male,,independent politician,40047903
Eric Lesser,,male,,Democratic Party,41959807
John Komnenos Molyvdos,,male,Eastern Orthodoxy,,48500424
Niranjan Jyoti,,female,,Bharatiya Janata Party,42551559
Oscar Leeser,,male,,Democratic Party,42730222
David Seymour (New Zealand politician),,male,,ACT New Zealand,42088927
Satya Narayan Sinha,,male,,Indian National Congress,43327996
Igor Plotnitsky,,male,Russian Orthodox Church,Peace for Lugansk Region,43640617
Elise Stefanik,,female,,Republican Party,41703969
Sambit Patra,,male,Hinduism,Bharatiya Janata Party,34021551
Mokgweetsi Masisi,,male,,Botswana Democratic Party,44399956
French Hill (politician),,male,,Republican Party,44279869
Josh Rosen,,male,Judaism,,45044120
Victoria Prentis,,female,,Conservative Party,46399592
Anne-Marie Trevelyan,,female,,Conservative Party,46645665
Nick Thomas-Symonds,,male,,Labour Party,46646317
David Kabua,,male,,independent politician,46871703
Erin Houchin,,female,,Republican Party,47254728
Nanette Barragán,,female,,Democratic Party,48530096
Jonathan Wilkinson,,male,,Liberal Party of Canada,48302529
Sergey Kozlov (politician),,male,,Peace for Lugansk Region,48920335
Dua Lipa,Albanians in Kosovo,female,,,49002318
Angela Nicole Walker,African Americans,female,,Socialist Party USA,48713169
Nepal Mahata,,male,,Indian National Congress,49245502
Steven Mnuchin,,male,,Republican Party,50501468
Warren Davidson,,male,,Republican Party,49803338
Clay Higgins,,male,,Republican Party,52343635
Ajamu Baraka,African Americans,male,,Green Party of the United States,51224085
Ilhan Omar,Somali American,female,Islam,Minnesota Democratic–Farmer–Labor Party,51289996
Barry Jenkins,African Americans,male,,,51941871
Brian Fallon (press secretary),,male,,Democratic Party,51618083
Kayleigh McEnany,,female,Christianity,Republican Party,51304470
Mike Gallagher (American politician),,male,,Republican Party,51864377
Laurentino Cortizo,,male,,Democratic Revolutionary Party,52767784
Becca Balint,,female,,Democratic Party,52791647
Pramod Sawant,,male,,Bharatiya Janata Party,52845240
Jesse Arreguín,,male,,Democratic Party,52571341
Dusty Johnson,,male,,Republican Party,54111476
Doug Jones (politician),,male,United Methodist Church,Democratic Party,54074020
Sarah Jones (politician),,female,,Labour Party,54258496
Tuimalealiʻifano Vaʻaletoʻa Sualauvi II,,male,,independent politician,54475515
Fraser Anning,,male,,One Nation,55758741
Arthur J. Jones,,male,,Republican Party,56508341
Nikos Christodoulides,,male,,Democratic Rally,58652814
Maria Butina,,female,,nonpartisanism,56831396
Dan Crenshaw,,male,,Republican Party,58713840
Bill Lee (Tennessee politician),,male,,Republican Party,58059164
Sharice Davids,,female,,Democratic Party,58597443
Lizzie Fletcher,,female,,Democratic Party,58854286
Dana Nessel,,female,,Democratic Party,58843411
Wiley Nickel,,male,,Democratic Party,59013196
Angela Alsobrooks,,female,,Democratic Party,59047789
Tregenza Roach,,male,,Democratic Party of the Virgin Islands,59140560
Mahmood (singer),Italian Egyptians,male,Catholicism,,59904497
Stephanie Bice,,female,,Republican Party,59501728
Biswabhusan Harichandan,,male,,Bharatiya Janata Party,61295734
Irfaan Ali,,male,,People's Progressive Party,61153000
Abraham Lincoln,English Americans,male,Baptists,Republican Party,307
Michelle Bachelet,,female,,Socialist Party of Chile,986814
Nicolas Sarkozy,,male,Christianity,Union for a Popular Movement,557007
Patricio Aylwin,,male,Catholicism,Christian Democratic Party,537683
Julian Assange,Australians,male,,The Wikileaks Party,26033941
Lionel Messi,Italian Argentines,male,,,2150841
Charlie Chaplin,British people,male,agnosticism,,5142
Afghanistan,Pashtuns,,Islam,,737
France Prešeren,Slovenes,male,,,335643
Julius Caesar,,male,,populares,15924
Giuseppe Saragat,,male,,Italian Democratic Socialist Party,1625368
Antonio Segni,,male,Catholic Church,Christian Democracy,475734
Vladimir Lenin,Russians,male,atheism,Russian Social Democratic Labour Party,11015252
Niccolò Machiavelli,,male,Catholicism,,21444
Petrarch,Italians,male,Catholic Church,,23734
Giovanni Boccaccio,Italians,male,,,12957
Nero,,male,ancient Roman religion,,21632
Trajan,hispano-roman people,male,ancient Roman religion,,30570
Corazon Aquino,,female,Catholic Church,Liberal Party of the Philippines,279605
Ferdinand Magellan,Portuguese,male,,,19914843
Neil Armstrong,Irish people,male,Protestantism,,21247
Serge Gainsbourg,Russian Jews,male,,,79505
Balbinus,,male,ancient Roman religion,,383486
Samir Nasri,,male,Islam,,5745279
Lance Armstrong,,male,atheism,Republican Party,23243880
Chuck Norris,,male,Baptists,Republican Party,162617
George Orwell,English people,male,atheism,Independent Labour Party,11891
"Albert II, Prince of Monaco",,male,Catholic Church,,235952
Barbra Streisand,Jewish people,female,,Democratic Party,72336
Raphael,Italians,male,Catholic Church,,44525
Peter Paul Rubens,,male,Catholicism,,21463370
Mimar Sinan,,male,Islam,,561874
Lord Byron,English people,male,,,17566665
Shelly-Ann Fraser-Pryce,African Americans,female,,,18902563
Johann Wolfgang von Goethe,Germans,male,Lutheranism,,19242322
Elizabeth I,,female,Anglicanism,,10128
Franz Schubert,Austrians,male,,,44888
James Cook,English people,male,,,15630
Güyük Khan,Mongols,male,Tengrism,,742592
Kublai Khan,Mongols,male,,,20754760
Leonhard Euler,,male,Protestantism,,17902
Louis XVI,,male,Catholicism,,51271
Louis XIV,,male,Catholicism,,18553
Charles X,,male,Catholic Church,,62531
Louis Philippe I,,male,Catholic Church,,77352
Frank Herbert,,male,Catholic Church,,10852
Rurik,,male,paganism,,26560
Akira Kurosawa,Japanese people,male,,,872
Avicenna,Persians,male,Islam,,1130
Nelson Mandela,Thembu tribe,male,Methodism,African National Congress,21492751
Cyrus the Great,Persians,male,Zoroastrianism,,800012
Saladin,Kurds,male,Islam,,26983
Enrico Fermi,,male,agnosticism,,10264
Satyajit Ray,Bengali people,male,Hinduism,,18933424
Steven Spielberg,American Jews,male,Judaism,Democratic Party,26940
Moses,Israelites,male,Yahwism,,19577
José Mujica,,male,atheism,National Party,2836239
Abraham,Hebrews,male,Yahwism,,1436
John Maynard Keynes,,male,,Liberal Party,37973
Max Weber,Germans,male,,National-Social Association,19455
Aamir Khan,,male,Islam,,163038
Caroline Lucas,,female,,Green Party of England and Wales,415702
John F. Kennedy,Irish Americans,male,Catholicism,Democratic Party,5119376
Honoré de Balzac,French,male,Catholicism,,42368
Hongwu Emperor,Han Chinese people,male,Buddhism,,163029
