title,Ethnicity,Gender,Religious_Affiliation,Political_Party,docid
Daniel Defoe,English people,male,,,8193
Martin Scorsese,Sicilian Americans,male,Eastern Orthodoxy,,18995
Michael Jordan,African Americans,male,,,20455
Mircea Eliade,,male,Romanian Orthodox Church,Iron Guard,155406
Thucydides,Greeks,male,,,30864
Achilles,,male,Ancient Greek religion,,305
Rosa Parks,African Americans,female,United Methodist Church,,26458
Henri Bergson,French,male,Judaism,,13531
Leif Erikson,Norsemen,male,Christianity,,146803
Dustin Hoffman,,male,,Democratic Party,42148
Sitting Bull,Native Americans in the United States,male,,,152833
Ambrose,Italians,male,Catholic Church,,1370
Vlad the Impaler,,male,Eastern Orthodoxy,,716868
Pope Leo XIII,,male,Catholic Church,,50614
Jude the Apostle,Jewish people,male,Christianity,,842854
Egon Schiele,Austrians,male,,,50835
Ludwig II of Bavaria,,male,Catholicism,,24383069
Werner Herzog,,male,atheism,,33138
Jörg Haider,,male,Catholic Church,Austrian Freedom Party,23772028
Ignatius of Loyola,,male,Catholic Church,,23368424
Tarcisio Bertone,Italians,male,Catholic Church,,1687904
Hans Christian Ørsted,,male,Eastern Orthodoxy,,7575091
Ray Lewis,African Americans,male,,,449982
Crazy Horse,Oglala Lakota,male,,,723455
Wyatt Earp,,male,,Republican Party,400247
Peter Canisius,,male,Catholic Church,,1801702
Francisco Pizarro,,male,Catholic Church,,55271
Giovanni Battista Re,,male,Catholic Church,,1474188
Jack London,Americans,male,atheism,Left Party (France),42978
King Arthur,,male,Celtic Christianity,,16808
Valerian (emperor),,male,ancient Roman religion,,51831
Elfriede Jelinek,,female,,Communist Party of Austria,1046731
Catherine Zeta-Jones,Welsh people,female,Roman Catholic,,150996
Andrea Riccardi,,male,Catholicism,Civic Choice,13986707
Ludovico Ariosto,Italians,male,Catholic Church,,17901
François-René de Chateaubriand,French,male,Catholicism,Legitimism,165723
Susan Rice,African Americans,female,,Democratic Party,2376712
Jerry Rawlings,,male,,"Armed Forces Revolutionary Council, Ghana",418094
Gustaf VI Adolf,Swedes,male,Lutheranism,,26651222
Charles XIV John,,male,Lutheranism,,38585
Charles XIII,,male,Lutheranism,,104784
Charles IX of Sweden,,male,Lutheranism,,70026
Luigi Comencini,Italians,male,,,10502284
Arthur Ashe,African Americans,male,,,320157
John III Sobieski,,male,Catholicism,,48303
Enver Hoxha,,male,atheism,French Communist Party,10286
Sloane Stephens,African Americans,female,,,25579014
Robert Altman,,male,atheism,,43823
Alexander Dovzhenko,Ukrainians,male,,Borotbists,28560487
Nikita Mikhalkov,,male,Eastern Orthodox Church,,712322
Mohsen Makhmalbaf,,male,,Mojahedin of the Islamic Revolution of Iran Organization,416987
Mehboob Khan,,male,Islam,,796021
Leni Riefenstahl,,female,Lutheranism,,17562
"Sarah, Duchess of York",,female,Anglicanism,,125270
Włodzimierz Cimoszewicz,,male,Catholic Church,Democratic Left Alliance,633107
Adolf von Baeyer,,male,Lutheranism,,863418
Erich Fromm,,male,atheism,,45343
Lutz Graf Schwerin von Krosigk,,male,Protestantism,Nazi Party,394312
Friedrich Paulus,,male,Catholic Church,,301069
Ernst Udet,,male,,Nazi Party,370934
"Maximilian I, Elector of Bavaria",,male,Catholic Church,,415476
Ferdinand Porsche,,male,,Nazi Party,67720
Yoweri Museveni,Hima,male,Anglicanism,National Resistance Movement,293409
Traian Băsescu,,male,Romanian Orthodox Church,Romanian Communist Party,1092982
Elisabeth Schwarzkopf,,female,,Nazi Party,379142
Abdullah of Saudi Arabia,,male,Sunni Islam,,19186951
Jalal Talabani,,male,Islam,Patriotic Union of Kurdistan,440244
Frederick Augustus III of Saxony,,male,Catholic Church,,547834
Ali Khamenei,Iranian Azerbaijanis,male,Shia Islam,Combatant Clergy Association,385653
Andry Rajoelina,Merina people,male,Catholicism,Young Malagasies Determined,21298487
Dalia Grybauskaitė,,female,Catholicism,Communist Party of the Soviet Union,22851884
Kurt Tucholsky,,male,,Independent Social Democratic Party of Germany,38646883
Joseph Kabila,,male,Anglicanism,People's Party for Reconstruction and Democracy,358668
Tsakhiagiin Elbegdorj,Zakhchin,male,,Democratic Party,924662
Jakaya Kikwete,,male,Islam,Party of the Revolution,1137875
Werner von Fritsch,,male,,Nazi Party,1063206
Sali Berisha,Albanians,male,Islam,Party of Labour of Albania,267929
Yingluck Shinawatra,,female,Theravāda,Pheu Thai Party,31770637
Essam Sharaf,,male,,National Democratic Party,31066097
Martin McGuinness,,male,,Sinn Féin,415632
Antonis Samaras,Greeks,male,Greek Orthodox Church,New Democracy,1478639
Ernst Chain,,male,Judaism,,740289
Avigdor Lieberman,,male,Judaism,Kach,1704303
Milarepa,Tibetan people,male,Tibetan Buddhism,,1009234
Liam Neeson,Irish people,male,Catholicism,,64182
Edmund Husserl,,male,Lutheranism,,9518
Max Born,Jewish people,male,Lutheranism,,61866
George Gamow,,male,atheism,,74641
Miles Morales,African Americans,male,,,32615025
Oskar Schindler,Germans,male,lapsed Catholic,Nazi Party,38367
Herbert Marcuse,,male,,Social Democratic Party of Germany,42035006
Albert Speer,,male,,Nazi Party,954
Gottfried Feder,,male,,German Workers' Party,407190
"William V, Duke of Bavaria",Germans,male,Catholicism,,1394201
Manfred Wörner,,male,,Christian Democratic Union,750243
Karl Eberhard Schöngarth,,male,,Nazi Party,343235
Abraham Fraenkel,Jewish people,male,,,528451
Frederica of Hanover,,female,Greek Orthodox Church,,763046
"Albert III, Duke of Bavaria",Germans,male,,,3082647
Dorothea of Brandenburg,,female,Catholic Church,,585750
Marc Andreessen,,male,,Republican Party,331986
"Johann Leopold, Hereditary Prince of Saxe-Coburg and Gotha",,male,,Nazi Party,4676824
